type,name,gu,dong,lat,lng,address
지역근린공원,홍익어린이공원,마포구,서교동,37.55224228,126.9232907,서울특별시 마포구 서교동 와우산로21길
지역근린공원,초동공원,중랑구,중화동,37.59569981,127.073027,서울특별시 중랑구 중화동 중랑천로20길
지역근린공원,더부리공원,강서구,화곡동,37.53488429,126.8467193,서울특별시 강서구 화곡동 
지역근린공원,효봉공원,금천구,시흥동,37.4606319,126.9104066,서울특별시 금천구 시흥동 
지역근린공원,방이다리공원1,서초구,양재동,37.47806181,127.0351789,서울특별시 서초구 양재동 
지역근린공원,한양공원,송파구,송파동,37.50403147,127.1154946,서울특별시 송파구 송파동 
지역근린공원,도림2동체육공원,영등포구,도림동,37.50637437,126.8978741,서울특별시 영등포구 도림동 도신로15길
지역근린공원,물방울어린이공원,도봉구,창동,37.63750758,127.0412588,서울특별시 도봉구 창동 
지역근린공원,삼각소공원,서대문구,남가좌동,37.57643154,126.9207582,서울특별시 서대문구 남가좌동 
지역근린공원,미아마을마당,강북구,미아동,37.61195861,127.0329785,서울특별시 강북구 미아동 오현로6길
지역근린공원,개운산공원,성북구,돈암동,37.59742776,127.0252208,서울특별시 성북구 돈암동 북악산로
지역근린공원,무지개공원,성동구,성수동2가,37.54157386,127.0534387,서울특별시 성동구 성수동2가 성수이로7길
지역근린공원,꽃재공원,성동구,하왕십리동,37.56742237,127.0278891,서울특별시 성동구 하왕십리동 마장로
지역근린공원,청진공원,종로구,청진동,37.57158267,126.9799983,서울특별시 종로구 청진동 
지역근린공원,송파나루공원,송파구,신천동,37.51321235,127.1068645,서울특별시 송파구 신천동 송파나루길
지역근린공원,초안산근린공원반려견놀이터,노원구,월계동,37.63843308,127.0509836,서울특별시 노원구 월계동 마들로5가길
지역근린공원,바우뫼그린공원,서초구,양재동,37.47452174,127.0343644,서울특별시 서초구 양재동 
지역근린공원,목마공원,양천구,목동,37.53806146,126.8855285,서울특별시 양천구 목동 목동동로
지역근린공원,원당근린공원,강서구,등촌동,37.55979448,126.8419666,서울특별시 강서구 등촌동 강서로56길
지역근린공원,목화공원,금천구,독산동,37.47746253,126.9072007,서울특별시 금천구 독산동 
지역근린공원,샛별공원,중랑구,망우동,37.59340873,127.1008325,서울특별시 중랑구 망우동 
지역근린공원,금호제4공원,성동구,금호동1가,37.55201976,127.0286819,서울특별시 성동구 금호동1가 독서당로57가길
지역근린공원,해바라기공원,관악구,신림동,37.46205269,126.930228,서울특별시 관악구 신림동 원신길
지역근린공원,노들나루공원,동작구,본동,37.51369798,126.953514,서울특별시 동작구 본동 노량진로
지역근린공원,인사문화마당,종로구,인사동,37.57157649,126.9873649,서울특별시 종로구 인사동 인사동길
대형시민/도심공원,서울숲,성동구,성수동1가,37.54380091,127.0394488,서울특별시 성동구 성수동1가 서울숲2길
지역근린공원,와우근린공원,마포구,창전동,37.55258751,126.930161,서울특별시 마포구 창전동 와우산로30길
지역근린공원,능산공원,중랑구,신내동,37.61213139,127.0969609,서울특별시 중랑구 신내동 
